SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS,MEAN_DAYS,NB_INVOICES
2365_GE,2020-08-01,2020-08-31,2816.0,"360,12",30,93.86666666666666,20
2365_GE,2020-09-01,2020-09-30,2703.0,"346,52",29,93.20689655172414,20
2365_GE,2020-10-01,2020-10-31,2759.0,"353,26",30,91.96666666666667,20
2365_GE,2020-11-01,2020-11-30,2638.0,"338,69",29,90.96551724137932,20
2367_GE,2018-01-01,2018-01-31,1555.0,"219,45",30,51.833333333333336,35
2367_GE,2018-02-01,2018-02-28,1436.0,"202,83",27,53.18518518518518,35
2367_GE,2018-03-01,2018-03-31,1706.0,"225,19",30,56.86666666666667,35
2367_GE,2018-04-01,2018-04-30,1523.0,"249,77",29,52.51724137931034,35
2367_GE,2018-05-01,2018-05-31,1582.0,"272,10",30,52.733333333333334,35
2367_GE,2018-06-01,2018-06-30,1714.0,"313,66",29,59.10344827586207,35
2367_GE,2018-07-01,2018-07-31,1923.0,"355,76",30,64.1,35
2367_GE,2018-08-01,2018-08-31,2119.0,"372,94",30,70.63333333333334,35
2367_GE,2018-09-01,2018-09-30,1833.0,"318,94",29,63.206896551724135,35
2367_GE,2018-10-01,2018-10-31,1939.0,"285,03",30,64.63333333333334,35
2367_GE,2018-11-01,2018-11-30,1931.0,"262,62",29,66.58620689655173,35
2367_GE,2018-12-01,2018-12-31,1956.0,"248,41",30,65.2,35
2367_GE,2019-01-01,2019-01-31,1946.0,"280,22",30,64.86666666666666,35
2367_GE,2019-02-01,2019-02-28,1939.0,"294,73",27,71.81481481481481,35
2367_GE,2019-03-01,2019-03-31,1739.0,"276,50",30,57.96666666666667,35
2367_GE,2019-04-01,2019-04-30,1885.0,"333,65",29,65.0,35
2367_GE,2019-05-01,2019-05-31,1946.0,"340,55",30,64.86666666666666,35
2367_GE,2019-06-01,2019-06-30,1805.0,"364,61",29,62.241379310344826,35
2367_GE,2019-07-01,2019-07-31,2124.0,"426,92",30,70.8,35
2367_GE,2019-08-01,2019-08-31,2075.0,"412,93",30,69.16666666666667,35
2367_GE,2019-09-01,2019-09-30,1916.0,"367,87",29,66.06896551724138,35
2367_GE,2019-10-01,2019-10-31,2246.0,"375,08",30,74.86666666666666,35
2367_GE,2019-11-01,2019-11-30,1829.0,"287,15",29,63.06896551724138,35
2367_GE,2019-12-01,2019-12-31,2004.0,"306,61",30,66.8,35
2367_GE,2020-01-01,2020-01-31,2143.0,"317,16",30,71.43333333333334,35
2367_GE,2020-02-01,2020-02-29,1440.0,"223,20",28,51.42857142857143,35
2367_GE,2020-03-01,2020-03-31,757.0,"120,36",30,25.233333333333334,35
2367_GE,2020-04-01,2020-04-30,3133.0,"582,74",29,108.03448275862068,35
2367_GE,2020-05-01,2020-05-31,2338.0,"425,52",30,77.93333333333334,35
2367_GE,2020-06-01,2020-06-30,1725.0,"343,28",29,59.48275862068966,35
2367_GE,2020-07-01,2020-07-31,2104.0,"414,49",30,70.13333333333334,35
2367_GE,2020-08-01,2020-08-31,1915.0,"371,51",30,63.833333333333336,35
2367_GE,2020-09-01,2020-09-30,2267.0,"428,46",29,78.17241379310344,35
2367_GE,2020-10-01,2020-10-31,1857.0,"300,83",30,61.9,35
2367_GE,2020-11-01,2020-11-30,1987.0,"309,97",29,68.51724137931035,35
2368_GE,2018-01-01,2018-01-31,2620.0,"281,73",30,87.33333333333333,35
2368_GE,2018-02-01,2018-02-28,2355.0,"254,07",27,87.22222222222223,35
2368_GE,2018-03-01,2018-03-31,2755.0,"294,96",30,91.83333333333333,35
2368_GE,2018-04-01,2018-04-30,3149.0,"334,89",29,108.58620689655173,35
2368_GE,2018-05-01,2018-05-31,3848.0,"407,32",30,128.26666666666668,35
2368_GE,2018-06-01,2018-06-30,3718.0,"393,85",29,128.20689655172413,35
2368_GE,2018-07-01,2018-07-31,4107.0,"434,44",30,136.9,35
2368_GE,2018-08-01,2018-08-31,4237.0,"447,92",30,141.23333333333332,35
2368_GE,2018-09-01,2018-09-30,3326.0,"356,08",29,114.6896551724138,35
2368_GE,2018-10-01,2018-10-31,2613.0,"281,79",30,87.1,35
2368_GE,2018-11-01,2018-11-30,2396.0,"259,19",29,82.62068965517241,35
2368_GE,2018-12-01,2018-12-31,2511.0,"271,31",30,83.7,35
2368_GE,2019-01-01,2019-01-31,2500.0,"263,64",30,83.33333333333333,35
2368_GE,2019-02-01,2019-02-28,2227.0,"235,58",27,82.48148148148148,35
2368_GE,2019-03-01,2019-03-31,2538.0,"267,20",30,84.6,35
2368_GE,2019-04-01,2019-04-30,2520.0,"265,35",29,86.89655172413794,35
2368_GE,2019-05-01,2019-05-31,2581.0,"271,61",30,86.03333333333333,35
2368_GE,2019-06-01,2019-06-30,2816.0,"296,42",29,97.10344827586206,35
2368_GE,2019-07-01,2019-07-31,2731.0,"287,14",30,91.03333333333333,35
2368_GE,2019-08-01,2019-08-31,2775.0,"291,72",30,92.5,35
2368_GE,2019-09-01,2019-09-30,2636.0,"277,46",29,90.89655172413794,35
2368_GE,2019-10-01,2019-10-31,2721.0,"286,23",30,90.7,35
2368_GE,2019-11-01,2019-11-30,2584.0,"272,27",29,89.10344827586206,35
2368_GE,2019-12-01,2019-12-31,2772.0,"291,44",30,92.4,35
2368_GE,2020-01-01,2020-01-31,2834.0,"355,75",30,94.46666666666667,35
2368_GE,2020-02-01,2020-02-29,2688.0,"337,88",28,96.0,35
2368_GE,2020-03-01,2020-03-31,2820.0,"352,29",30,94.0,35
2368_GE,2020-04-01,2020-04-30,2812.0,"351,17",29,96.96551724137932,35
2368_GE,2020-05-01,2020-05-31,2811.0,"352,71",30,93.7,35
2368_GE,2020-06-01,2020-06-30,2747.0,"344,48",29,94.72413793103448,35
2368_GE,2020-07-01,2020-07-31,2887.0,"359,93",30,96.23333333333333,35
2368_GE,2020-08-01,2020-08-31,2914.0,"363,22",30,97.13333333333334,35
2368_GE,2020-09-01,2020-09-30,2802.0,"349,58",29,96.62068965517241,35
2368_GE,2020-10-01,2020-10-31,2836.0,"353,72",30,94.53333333333333,35
2368_GE,2020-11-01,2020-11-30,2690.0,"335,95",29,92.75862068965517,35
2371_GE,2018-01-01,2018-12-31,38519.0,"5 096,07",364,105.82142857142857,24
2371_GE,2019-01-01,2019-01-31,3559.0,"448,59",30,118.63333333333334,24
2371_GE,2019-02-01,2019-02-28,3123.0,"385,65",27,115.66666666666667,24
2371_GE,2019-03-01,2019-03-31,3450.0,"424,95",30,115.0,24
2371_GE,2019-04-01,2019-04-30,3130.0,"385,91",29,107.93103448275862,24
2371_GE,2019-05-01,2019-05-31,3174.0,"390,34",30,105.8,24
2371_GE,2019-06-01,2019-06-30,3376.0,"415,66",29,116.41379310344827,24
2371_GE,2019-07-01,2019-07-31,3527.0,"434,07",30,117.56666666666666,24
2371_GE,2019-08-01,2019-08-31,3545.0,"435,75",30,118.16666666666667,24
2371_GE,2019-09-01,2019-09-30,3371.0,"414,48",29,116.24137931034483,24
2371_GE,2019-10-01,2019-10-31,3434.0,"421,74",30,114.46666666666667,24
2371_GE,2019-11-01,2019-11-30,3284.0,"403,80",29,113.24137931034483,24
2371_GE,2019-12-01,2019-12-31,3269.0,"401,94",30,108.96666666666667,24
2371_GE,2020-01-01,2020-01-31,3277.0,"463,95",30,109.23333333333333,24
2371_GE,2020-02-01,2020-02-29,3062.0,"435,72",28,109.35714285714286,24
2371_GE,2020-03-01,2020-03-31,3247.0,"464,40",30,108.23333333333333,24
2371_GE,2020-04-01,2020-04-30,3131.0,"446,82",29,107.96551724137932,24
2371_GE,2020-05-01,2020-05-31,3235.0,"460,84",30,107.83333333333333,24
2371_GE,2020-06-01,2020-06-30,3267.0,"465,56",29,112.65517241379311,24
2371_GE,2020-07-01,2020-07-31,3524.0,"500,24",30,117.46666666666667,24
2371_GE,2020-08-01,2020-08-31,3516.0,"497,99",30,117.2,24
2371_GE,2020-09-01,2020-09-30,3294.0,"467,29",29,113.58620689655173,24
2371_GE,2020-10-01,2020-10-31,3378.0,"478,44",30,112.6,24
2371_GE,2020-11-01,2020-11-30,3186.0,"442,00",29,109.86206896551724,24
2372_GE,2018-01-01,2018-12-31,28936.0,"3 342,01",364,79.49450549450549,3
2372_GE,2019-01-01,2019-09-11,20339.0,"2 305,16",253,80.3913043478261,3
2372_GE,2019-09-12,2019-12-31,9483.0,"1 067,71",110,86.2090909090909,3
2374_GE,2018-01-01,2018-01-31,2484.0,"307,08",30,82.8,35
2374_GE,2018-02-01,2018-02-28,2298.0,"284,67",27,85.11111111111111,35
2374_GE,2018-03-01,2018-03-31,2503.0,"309,37",30,83.43333333333334,35
2374_GE,2018-04-01,2018-04-30,2419.0,"299,25",29,83.41379310344827,35
2374_GE,2018-05-01,2018-05-31,2508.0,"309,97",30,83.6,35
2374_GE,2018-06-01,2018-06-30,2426.0,"300,09",29,83.65517241379311,35
2374_GE,2018-07-01,2018-07-31,2517.0,"311,23",30,83.9,35
2374_GE,2018-08-01,2018-08-31,2510.0,"310,39",30,83.66666666666667,35
2374_GE,2018-09-01,2018-09-30,2426.0,"302,17",29,83.65517241379311,35
2374_GE,2018-10-01,2018-10-31,2843.0,"352,77",30,94.76666666666667,35
2374_GE,2018-11-01,2018-11-30,2884.0,"357,75",29,99.44827586206897,35
2374_GE,2018-12-01,2018-12-31,2957.0,"366,61",30,98.56666666666666,35
2374_GE,2019-01-01,2019-01-31,2965.0,"404,07",30,98.83333333333333,35
2374_GE,2019-02-01,2019-02-28,2673.0,"365,05",27,99.0,35
2374_GE,2019-03-01,2019-03-31,2957.0,"403,00",30,98.56666666666666,35
2374_GE,2019-04-01,2019-04-30,2727.0,"372,27",29,94.03448275862068,35
2374_GE,2019-05-01,2019-05-31,2613.0,"357,04",30,87.1,35
2374_GE,2019-06-01,2019-06-30,2584.0,"353,16",29,89.10344827586206,35
2374_GE,2019-07-01,2019-07-31,2633.0,"359,71",30,87.76666666666667,35
2374_GE,2019-08-01,2019-08-31,2653.0,"362,38",30,88.43333333333334,35
2374_GE,2019-09-01,2019-09-30,2558.0,"349,69",29,88.20689655172414,35
2374_GE,2019-10-01,2019-10-31,2651.0,"362,11",30,88.36666666666666,35
2374_GE,2019-11-01,2019-11-30,2551.0,"348,75",29,87.96551724137932,35
2374_GE,2019-12-01,2019-12-31,2610.0,"356,64",30,87.0,35
2374_GE,2020-01-01,2020-01-31,2625.0,"356,59",30,87.5,35
2374_GE,2020-02-01,2020-02-29,2519.0,"342,55",28,89.96428571428571,35
2374_GE,2020-03-01,2020-03-31,2680.0,"363,88",30,89.33333333333333,35
2374_GE,2020-04-01,2020-04-30,2693.0,"365,60",29,92.86206896551724,35
2374_GE,2020-05-01,2020-05-31,2791.0,"378,58",30,93.03333333333333,35
2374_GE,2020-06-01,2020-06-30,2718.0,"368,91",29,93.72413793103448,35
2374_GE,2020-07-01,2020-07-31,2868.0,"388,79",30,95.6,35
2374_GE,2020-08-01,2020-08-31,2902.0,"393,29",30,96.73333333333333,35
2374_GE,2020-09-01,2020-09-30,2831.0,"383,88",29,97.62068965517241,35
2374_GE,2020-10-01,2020-10-31,2902.0,"393,29",30,96.73333333333333,35
2374_GE,2020-11-01,2020-11-30,2781.0,"377,26",29,95.89655172413794,35
2375_GE,2018-01-01,2018-01-31,2370.0,"306,70",30,79.0,35
2375_GE,2018-02-01,2018-02-28,2135.0,"277,21",27,79.07407407407408,35
